"Time (s)","Pressure (hPa)"
5.685223000E-3,9.804016113E2
1.054362230E-1,9.803979492E2
2.049602230E-1,9.803198242E2
3.044762230E-1,9.800742188E2
4.040072230E-1,9.799304199E2
5.035502230E-1,9.798676758E2
6.030878230E-1,9.798930664E2
7.026186560E-1,9.799760742E2
8.021427980E-1,9.801008301E2
9.016691730E-1,9.802243652E2
1.001195617E0,9.803515625E2
1.100721517E0,9.804643555E2
1.200247517E0,9.806154785E2
1.299777183E0,9.806677246E2
1.399306875E0,9.806645508E2
1.498839089E0,9.806472168E2
1.598368689E0,9.806042480E2
1.697898001E0,9.805405273E2
1.797424118E0,9.804699707E2
1.896949840E0,9.803850098E2
1.996474576E0,9.804042969E2
2.095999876E0,9.805114746E2
2.195524733E0,9.804702148E2
2.295049596E0,9.804670410E2
2.394575030E0,9.804401855E2
2.494101405E0,9.804350586E2
2.593627325E0,9.804611816E2
2.693153555E0,9.805151367E2
2.792679184E0,9.805454102E2
2.892208398E0,9.805195312E2
2.991739260E0,9.804736328E2
3.091271226E0,9.804123535E2
3.190806892E0,9.804028320E2
3.290346158E0,9.803867188E2
3.389886891E0,9.803637695E2
3.489429124E0,9.803327637E2
3.588971924E0,9.803491211E2
3.688517124E0,9.803574219E2
3.788063590E0,9.803278809E2
3.887610490E0,9.803425293E2
3.987157056E0,9.803442383E2
4.086702856E0,9.803320312E2
4.186247822E0,9.803740234E2
4.285790122E0,9.803586426E2
4.385333155E0,9.803964844E2
4.484875955E0,9.804755859E2
4.584419788E0,9.806242676E2
4.683965954E0,9.808657227E2
4.783513820E0,9.810649414E2
4.883062686E0,9.810295410E2
4.982612319E0,9.808261719E2
5.082163252E0,9.805571289E2
5.181716118E0,9.802985840E2
5.281271218E0,9.801613770E2
5.380827884E0,9.800908203E2
5.480388684E0,9.800820312E2
5.579954717E0,9.800810547E2
5.679524050E0,9.800751953E2
5.779098550E0,9.800876465E2
5.878674550E0,9.801120605E2
5.978250950E0,9.801440430E2
6.077830116E0,9.801872559E2
6.177407316E0,9.801872559E2
6.276984049E0,9.801989746E2
6.376561215E0,9.802421875E2
6.476137781E0,9.802421875E2
6.575716847E0,9.802661133E2
6.675296480E0,9.802980957E2
6.774878446E0,9.802980957E2
6.874464046E0,9.803110352E2
6.974054612E0,9.803300781E2
7.073649512E0,9.803300781E2
7.173249178E0,9.803459473E2
7.272855044E0,9.804016113E2
7.372461777E0,9.804016113E2
7.472070510E0,9.804160156E2
7.571682043E0,9.804453125E2
7.671294876E0,9.804453125E2
7.770911609E0,9.804453125E2
7.870529509E0,9.804338379E2
7.970150242E0,9.804338379E2
8.069773308E0,9.804357910E2
8.169400008E0,9.804565430E2
8.269029141E0,9.804565430E2
8.368658974E0,9.804409180E2
8.468288107E0,9.804257812E2
8.567915873E0,9.804257812E2
8.667544939E0,9.803950195E2
8.767172372E0,9.803547363E2
8.866798905E0,9.803547363E2
8.966426605E0,9.803481445E2
9.066052638E0,9.803493652E2
9.165681538E0,9.803493652E2
9.265311804E0,9.803857422E2
9.364941170E0,9.803981934E2
9.464571803E0,9.803981934E2
9.564202803E0,9.803959961E2
9.663835503E0,9.804069824E2
9.763470103E0,9.804069824E2
9.863103703E0,9.804060059E2
9.962734236E0,9.804113770E2
1.006236474E1,9.804113770E2
1.016199177E1,9.804182129E2
1.026161557E1,9.804226074E2
1.036123970E1,9.804226074E2
1.046086347E1,9.804599609E2
1.056048800E1,9.804575195E2
1.066011100E1,9.804543457E2
1.075973150E1,9.804655762E2
1.085935407E1,9.804755859E2
1.095897557E1,9.804611816E2
1.105859710E1,9.804609375E2
1.115821533E1,9.804707031E2
1.125783497E1,9.804790039E2
1.135745157E1,9.805136719E2
1.145706430E1,9.805312500E2
1.155667550E1,9.805324707E2
1.165628370E1,9.804956055E2
1.175589210E1,9.804431152E2
1.185549810E1,9.804306641E2
1.195510400E1,9.804558105E2
1.205471030E1,9.804370117E2
1.215431336E1,9.804279785E2
1.225391590E1,9.804411621E2
1.235351970E1,9.804011230E2
1.245312413E1,9.803569336E2
1.255272790E1,9.803432617E2
1.265233180E1,9.803083496E2
1.275193263E1,9.802707520E2
1.285153236E1,9.802465820E2
1.295113663E1,9.802968750E2
1.305074076E1,9.803588867E2
1.315034730E1,9.803803711E2
1.324995603E1,9.803723145E2
1.334956553E1,9.803674316E2
1.344917549E1,9.803979492E2
1.354878473E1,9.804086914E2
1.364839359E1,9.803916016E2
1.374800163E1,9.803820801E2
1.384760746E1,9.804038086E2
1.394721399E1,9.803754883E2
1.404681796E1,9.803288574E2
1.414642346E1,9.802619629E2
1.424602389E1,9.802141113E2
1.434562706E1,9.801867676E2
1.444523109E1,9.801936035E2
1.454483432E1,9.802058105E2
1.464443882E1,9.802424316E2
1.474404169E1,9.802514648E2
1.484364452E1,9.802783203E2
1.494324366E1,9.802714844E2
1.504284252E1,9.802648926E2
1.514244045E1,9.802807617E2
1.524203805E1,9.803308105E2
1.534163275E1,9.803798828E2
1.544122329E1,9.804477539E2
1.554081205E1,9.804738770E2
1.564039799E1,9.804702148E2
1.573998375E1,9.804194336E2
1.583956785E1,9.803605957E2
1.593914732E1,9.803034668E2
1.603872645E1,9.802756348E2
1.613830475E1,9.802814941E2
1.623788148E1,9.802878418E2
1.633745808E1,9.802785645E2
1.643703762E1,9.802873535E2
1.653661622E1,9.803425293E2
1.663619445E1,9.803598633E2
1.673577415E1,9.803798828E2
1.683535558E1,9.803842773E2
1.693493868E1,9.803818359E2
1.703452205E1,9.804128418E2
1.713410318E1,9.804047852E2
1.723368698E1,9.804301758E2
1.733326902E1,9.804848633E2
1.743285118E1,9.805820312E2
1.753243321E1,9.805820312E2
1.763201435E1,9.805769043E2
1.773159498E1,9.804230957E2
1.783117671E1,9.804230957E2
1.793076271E1,9.803630371E2
1.803034795E1,9.803151855E2
1.812993471E1,9.803151855E2
1.822951981E1,9.803281250E2
1.832910688E1,9.804050293E2
1.842869571E1,9.804050293E2
1.852828518E1,9.804252930E2
1.862787701E1,9.804992676E2
1.872746761E1,9.804992676E2
1.882706098E1,9.804870605E2
1.892665238E1,9.804311523E2
1.902624188E1,9.804311523E2
1.912582828E1,9.803918457E2
1.922541274E1,9.803698730E2
1.932499398E1,9.803698730E2
1.942456784E1,9.804387207E2
1.952414001E1,9.805205078E2
1.962371077E1,9.805205078E2
1.972327871E1,9.805104980E2
1.982284367E1,9.804416504E2
1.992240437E1,9.804416504E2
2.002196540E1,9.802575684E2
2.012152381E1,9.802314453E2
2.022107964E1,9.802314453E2
2.032063417E1,9.802600098E2
2.042018740E1,9.802666016E2
2.051973797E1,9.802666016E2
2.061928617E1,9.803837891E2
2.071883200E1,9.804331055E2
2.081837530E1,9.804331055E2
2.091791340E1,9.804096680E2
2.101744890E1,9.804047852E2
2.111698087E1,9.804047852E2
2.121651214E1,9.803789062E2
2.131604007E1,9.803901367E2
2.141556667E1,9.803901367E2
2.151509157E1,9.804038086E2
2.161461410E1,9.804313965E2
2.171413630E1,9.804313965E2
2.181365727E1,9.803083496E2
2.191317857E1,9.801940918E2
2.201269950E1,9.801347656E2
2.211222240E1,9.801164551E2
2.221174383E1,9.801201172E2
2.231126270E1,9.801398926E2
2.241078270E1,9.801804199E2
2.251030183E1,9.802031250E2
2.260982103E1,9.801857910E2
2.270934030E1,9.802307129E2
2.280885886E1,9.802839355E2
2.290837563E1,9.803603516E2
2.300789030E1,9.804262695E2
2.310740586E1,9.804758301E2
2.320692070E1,9.805539551E2
2.330643600E1,9.805292969E2
2.340595196E1,9.804230957E2
2.350547026E1,9.803513184E2
2.360498813E1,9.803352051E2
2.370450656E1,9.802927246E2
2.380402496E1,9.802949219E2
2.390354443E1,9.803457031E2
2.400306499E1,9.804780273E2
2.410258726E1,9.804172363E2
2.420211012E1,9.803442383E2
2.430163262E1,9.803051758E2
2.440115606E1,9.803420410E2
2.450068086E1,9.804294434E2
2.460020589E1,9.805158691E2
2.469973272E1,9.805832520E2
2.479925746E1,9.804956055E2
2.489878286E1,9.803918457E2
2.499830792E1,9.803471680E2
2.509783279E1,9.803532715E2
2.519736079E1,9.803574219E2
2.529689169E1,9.803676758E2
2.539642295E1,9.804370117E2
2.549595469E1,9.804687500E2
2.559548809E1,9.804030762E2
2.569502262E1,9.803818359E2
2.579455819E1,9.803894043E2
2.589409775E1,9.803828125E2
2.599363875E1,9.804177246E2
2.609318195E1,9.804772949E2
2.619272542E1,9.806010742E2
2.629226912E1,9.804746094E2
2.639181372E1,9.804038086E2
2.649135862E1,9.803676758E2
2.659090425E1,9.803259277E2
2.669045028E1,9.802653809E2
2.678999718E1,9.802944336E2
2.688954578E1,9.804311523E2
2.698909552E1,9.805439453E2
2.708864468E1,9.804545898E2
2.718819365E1,9.804067383E2
2.728774422E1,9.803879395E2
2.738729395E1,9.803825684E2
2.748684468E1,9.804243164E2
2.758639708E1,9.804667969E2
2.768595035E1,9.805297852E2
2.778550605E1,9.803588867E2
2.788506358E1,9.803022461E2
2.798462621E1,9.802404785E2
2.808419065E1,9.802207031E2
2.818375781E1,9.802246094E2
2.828332708E1,9.802448730E2
2.838289931E1,9.803564453E2
2.848247421E1,9.803959961E2
2.858205004E1,9.803186035E2
2.868162804E1,9.802407227E2
2.878120868E1,9.801979980E2
2.888078938E1,9.802080078E2
2.898037314E1,9.802729492E2
2.907995628E1,9.805122070E2
2.917954244E1,9.805122070E2
2.927913031E1,9.804335938E2
2.937871924E1,9.803674316E2
2.947830957E1,9.803674316E2
2.957790394E1,9.803054199E2
2.967750167E1,9.803200684E2
2.977710117E1,9.803200684E2
2.987670204E1,9.804851074E2
2.997630527E1,9.803513184E2
3.007591090E1,9.803513184E2
3.017551837E1,9.803083496E2
3.027512740E1,9.803874512E2
3.037473957E1,9.803874512E2
3.047435144E1,9.804685059E2
3.057396377E1,9.804128418E2
3.067357580E1,9.804128418E2
3.077318930E1,9.803132324E2
3.087280294E1,9.802336426E2
3.097241294E1,9.802336426E2
3.107202144E1,9.802890625E2
3.117162780E1,9.805441895E2
3.127123593E1,9.805441895E2
3.137084393E1,9.803708496E2
3.147045110E1,9.803212891E2
3.157005930E1,9.803212891E2
3.166966760E1,9.802287598E2
3.176927507E1,9.802744141E2
3.186888220E1,9.802744141E2
3.196848747E1,9.803005371E2
3.206809440E1,9.803125000E2
3.216770003E1,9.803125000E2
3.226730656E1,9.803308105E2
3.236691383E1,9.803625488E2
3.246652216E1,9.803625488E2
3.256612816E1,9.804938965E2
3.266573443E1,9.805075684E2
3.276534113E1,9.805075684E2
3.286494650E1,9.805197754E2
3.296455220E1,9.805148926E2
3.306415876E1,9.805148926E2
3.316376646E1,9.804748535E2
3.326337593E1,9.804877930E2
3.336298486E1,9.804877930E2
3.346259526E1,9.805075684E2
3.356220899E1,9.805112305E2
3.366182479E1,9.805114746E2
3.376143943E1,9.805080566E2
3.386105593E1,9.804975586E2
3.396067506E1,9.804560547E2
3.406029806E1,9.804545898E2
3.415992096E1,9.804599609E2
3.425954152E1,9.804458008E2
3.435916216E1,9.804531250E2
3.445878266E1,9.804677734E2
3.455840299E1,9.805307617E2
3.465802189E1,9.805327148E2
3.475764022E1,9.805173340E2
3.485725699E1,9.805283203E2
3.495687186E1,9.805529785E2
3.505648559E1,9.805734863E2
3.515609932E1,9.805793457E2
3.525571156E1,9.805871582E2
3.535532229E1,9.805649414E2
3.545493172E1,9.805664062E2
3.555454475E1,9.805788574E2
3.565415605E1,9.805739746E2
3.575376719E1,9.805476074E2
3.585337989E1,9.805517578E2
3.595299252E1,9.805522461E2
3.605260569E1,9.805185547E2
3.615221949E1,9.805288086E2
3.625183182E1,9.805300293E2
3.635144349E1,9.805253906E2
3.645105545E1,9.805187988E2
3.655066458E1,9.804995117E2
3.665027258E1,9.804895020E2
3.674988108E1,9.804716797E2
3.684948712E1,9.804577637E2
3.694909292E1,9.804504395E2
3.704869672E1,9.804211426E2
3.714830372E1,9.804150391E2
3.724791182E1,9.804013672E2
3.734751968E1,9.803962402E2
3.744713028E1,9.803820801E2
3.754674038E1,9.803911133E2
3.764635412E1,9.804035645E2
3.774596838E1,9.804155273E2
3.784558532E1,9.804001465E2
3.794520372E1,9.804201660E2
3.804482252E1,9.804675293E2
3.814444188E1,9.804716797E2
3.824406081E1,9.804592285E2
3.834368038E1,9.804743652E2
3.844329878E1,9.804741211E2
3.854291355E1,9.804973145E2
3.864252881E1,9.805212402E2
3.874214488E1,9.805451660E2
3.884176091E1,9.805537109E2
3.894137438E1,9.805874023E2
3.904098718E1,9.805800781E2
3.914059701E1,9.805810547E2
3.924020534E1,9.805898438E2
3.933981208E1,9.805920410E2
3.943941678E1,9.805869141E2
3.953902194E1,9.805920410E2
3.963862671E1,9.805661621E2
3.973823151E1,9.805461426E2
3.983783621E1,9.805141602E2
3.993743891E1,9.804675293E2
4.003704217E1,9.804592285E2
4.013664271E1,9.804606934E2
4.023624364E1,9.804758301E2
4.033584427E1,9.804655762E2
4.043544194E1,9.804260254E2
4.053503840E1,9.804284668E2
4.063463114E1,9.804174805E2
4.073422360E1,9.804348145E2
4.083381394E1,9.804548340E2
4.093340400E1,9.804785156E2
4.103299527E1,9.805024414E2
4.113258570E1,9.805139160E2
4.123217747E1,9.804995117E2
4.133176850E1,9.804487305E2
4.143136187E1,9.804069824E2
4.153095557E1,9.804079590E2
4.163054860E1,9.803769531E2
4.173013803E1,9.804174805E2
4.182972540E1,9.804777832E2
4.192931330E1,9.804167480E2
4.202889913E1,9.803935547E2
4.212848557E1,9.803957520E2
4.222807203E1,9.804294434E2
4.232765950E1,9.804897461E2
4.242724733E1,9.805866699E2
4.252683280E1,9.807028809E2
4.262641733E1,9.807028809E2
4.272600010E1,9.806926270E2
4.282558316E1,9.806567383E2
4.292516546E1,9.806567383E2
4.302474803E1,9.804953613E2
4.312433043E1,9.804702148E2
4.322391403E1,9.804702148E2
4.332349699E1,9.805590820E2
4.342308023E1,9.805202637E2
4.352266473E1,9.805202637E2
4.362225093E1,9.804335938E2
4.372183726E1,9.804167480E2
4.382142416E1,9.804167480E2
4.392101219E1,9.805874023E2
4.402059856E1,9.806176758E2
4.412018446E1,9.806176758E2
4.421977256E1,9.804895020E2
4.431936176E1,9.804355469E2
4.441894962E1,9.804355469E2
4.451853686E1,9.805363770E2
4.461812512E1,9.805646973E2
4.471771726E1,9.805107422E2
4.481731129E1,9.805197754E2
4.491690582E1,9.804895020E2
4.501650202E1,9.805004883E2
4.511609899E1,9.805610352E2
4.521569779E1,9.805505371E2
4.531529612E1,9.804519043E2
4.541489632E1,9.803940430E2
4.551449779E1,9.803586426E2
4.561409939E1,9.803254395E2
4.571370089E1,9.803076172E2
4.581330332E1,9.803371582E2
4.591290685E1,9.804423828E2
4.601250852E1,9.804157715E2
4.611211035E1,9.803867188E2
4.621170882E1,9.803876953E2
4.631130652E1,9.804094238E2
4.641090335E1,9.804863281E2
4.651049822E1,9.804807129E2
4.661009385E1,9.804113770E2
4.670968948E1,9.803432617E2
4.680928742E1,9.803120117E2
4.690888495E1,9.803300781E2
4.700848438E1,9.804289551E2
4.710808632E1,9.805356445E2
4.720768532E1,9.805681152E2
4.730728438E1,9.804860840E2
4.740688401E1,9.805000000E2
4.750648655E1,9.804982910E2
4.760608845E1,9.805239258E2
4.770568841E1,9.805913086E2
4.780528818E1,9.806879883E2
4.790488754E1,9.807021484E2
4.800448728E1,9.806579590E2
4.810408581E1,9.806132812E2
4.820368291E1,9.805778809E2
4.830328114E1,9.805512695E2
4.840287734E1,9.805393066E2
4.850247174E1,9.805761719E2
4.860206621E1,9.805915527E2
4.870166361E1,9.805588379E2
4.880125931E1,9.805107422E2
4.890085694E1,9.804997559E2
4.900045434E1,9.805244141E2
4.910005128E1,9.805935059E2
4.919964994E1,9.806909180E2
4.929924938E1,9.807260742E2
4.939885344E1,9.807070312E2
4.949845757E1,9.806721191E2
4.959805924E1,9.805920410E2
4.969765991E1,9.804875488E2
4.979725724E1,9.804462891E2
4.989685590E1,9.804787598E2
4.999645341E1,9.805244141E2
5.009604987E1,9.804916992E2
5.019564697E1,9.804677734E2
5.029524444E1,9.804353027E2
5.039484247E1,9.804052734E2
5.049443780E1,9.804252930E2
